"Atom number","Rang","Delta P"
"1","1","0.603"
"15","2","0.185"
"16","3","0.185"
"14","4","0.145"
"18","5","0.145"
"24","6","0.145"
"9","7","0.143"
"25","8","0.140"
"13","9","0.056"
"17","10","0.056"
"27","11","0.039"
"28","12","0.039"
"4","13","0.017"
"23","14","0.004"
"26","15","-0.062"
"2","16","-0.068"
"3","17","-0.087"
"7","18","-0.154"
"30","19","-0.178"
"21","20","-0.203"
"31","21","-0.230"
"12","22","-0.243"
"19","23","-0.243"
"22","24","-0.314"
"5","25","-0.326"
"11","26","-0.346"
"8","27","-0.373"
"10","28","-0.380"
"6","29","-0.444"
"20","30","-0.459"
"29","31","-0.515"
