"Atom number","Rang","Delta P"
"41","1","0.188"
"8","2","0.187"
"2","3","0.156"
"35","4","0.121"
"44","5","0.105"
"46","6","0.105"
"43","7","0.073"
"45","8","0.073"
"3","9","0.024"
"10","10","0.024"
"26","11","0.024"
"29","12","0.024"
"34","13","0.018"
"36","14","0.018"
"42","15","0.010"
"5","16","0.004"
"16","17","-0.015"
"17","18","-0.015"
"33","19","-0.046"
"37","20","-0.046"
"6","21","-0.082"
"25","22","-0.091"
"9","23","-0.095"
"15","24","-0.105"
"28","25","-0.108"
"18","26","-0.159"
"22","27","-0.173"
"7","28","-0.184"
"1","29","-0.190"
"14","30","-0.208"
"39","31","-0.242"
"4","32","-0.261"
"13","33","-0.261"
"11","34","-0.265"
"32","35","-0.298"
"31","36","-0.303"
"21","37","-0.362"
"12","38","-0.367"
"20","39","-0.384"
"24","40","-0.385"
"27","41","-0.385"
"30","42","-0.385"
"23","43","-0.402"
"40","44","-0.435"
"38","45","-0.468"
"19","46","-0.533"
