"Atom number","Rang","Delta P"
"18","1","0.335"
"26","2","0.208"
"25","3","0.109"
"5","4","0.078"
"14","5","0.078"
"30","6","0.051"
"27","7","0.022"
"6","8","-0.001"
"13","9","-0.001"
"24","10","-0.017"
"31","11","-0.069"
"20","12","-0.095"
"2","13","-0.126"
"9","14","-0.169"
"29","15","-0.224"
"3","16","-0.244"
"7","17","-0.252"
"22","18","-0.293"
"1","19","-0.297"
"17","20","-0.331"
"10","21","-0.334"
"11","22","-0.334"
"12","23","-0.334"
"16","24","-0.336"
"4","25","-0.343"
"15","26","-0.413"
"21","27","-0.438"
"19","28","-0.477"
"8","29","-0.557"
"23","30","-0.603"
"28","31","-0.648"
