"Atom number","Rang","Delta P"
"1","1","0.512"
"8","2","0.380"
"10","3","0.380"
"23","4","0.062"
"3","5","0.026"
"16","6","0.009"
"15","7","-0.222"
"17","8","-0.245"
"20","9","-0.377"
"26","10","-0.386"
"27","11","-0.386"
"12","12","-0.441"
"25","13","-0.441"
"24","14","-0.474"
"5","15","-0.504"
"9","16","-0.526"
"11","17","-0.526"
"21","18","-0.534"
"29","19","-0.613"
"6","20","-0.624"
"18","21","-0.665"
"28","22","-0.666"
"2","23","-0.690"
"7","24","-0.700"
"4","25","-0.757"
"22","26","-0.779"
"14","27","-0.830"
"13","28","-0.849"
"19","29","-0.857"
