"Atom number","Rang","Delta P"
"41","1","0.111"
"9","2","0.039"
"37","3","-0.012"
"16","4","-0.024"
"23","5","-0.026"
"11","6","-0.028"
"15","7","-0.085"
"5","8","-0.091"
"31","9","-0.092"
"33","10","-0.118"
"4","11","-0.127"
"38","12","-0.135"
"18","13","-0.153"
"19","14","-0.153"
"24","15","-0.155"
"34","16","-0.160"
"42","17","-0.163"
"43","18","-0.163"
"35","19","-0.173"
"1","20","-0.179"
"40","21","-0.185"
"7","22","-0.189"
"39","23","-0.189"
"17","24","-0.195"
"14","25","-0.196"
"32","26","-0.205"
"22","27","-0.212"
"10","28","-0.215"
"20","29","-0.215"
"36","30","-0.217"
"12","31","-0.233"
"21","32","-0.245"
"28","33","-0.254"
"8","34","-0.259"
"6","35","-0.260"
"27","36","-0.261"
"13","37","-0.275"
"2","38","-0.284"
"26","39","-0.285"
"29","40","-0.285"
"30","41","-0.288"
"25","42","-0.291"
"3","43","-0.343"
