"Atom number","Rang","Delta P"
"1","1","0.226"
"19","2","0.120"
"21","3","0.120"
"14","4","-0.064"
"16","5","-0.264"
"25","6","-0.293"
"18","7","-0.381"
"22","8","-0.381"
"10","9","-0.508"
"24","10","-0.508"
"11","11","-0.509"
"23","12","-0.509"
"5","13","-0.514"
"4","14","-0.561"
"9","15","-0.595"
"15","16","-0.672"
"26","17","-0.683"
"12","18","-0.699"
"3","19","-0.722"
"13","20","-0.738"
"17","21","-0.770"
"20","22","-0.775"
"7","23","-0.801"
"27","24","-0.893"
"28","25","-0.900"
"6","26","-0.912"
"29","27","-0.923"
"8","28","-0.924"
"2","29","-0.933"
