"Atom number","Rang","Delta P"
"12","1","0.765"
"17","2","0.161"
"8","3","0.052"
"18","4","0.022"
"19","5","-0.032"
"23","6","-0.032"
"29","7","-0.050"
"9","8","-0.073"
"14","9","-0.137"
"25","10","-0.137"
"1","11","-0.150"
"7","12","-0.157"
"20","13","-0.193"
"22","14","-0.193"
"15","15","-0.199"
"24","16","-0.199"
"4","17","-0.245"
"28","18","-0.273"
"13","19","-0.315"
"21","20","-0.443"
"6","21","-0.451"
"2","22","-0.454"
"30","23","-0.467"
"10","24","-0.490"
"5","25","-0.500"
"27","26","-0.529"
"16","27","-0.538"
"31","28","-0.566"
"26","29","-0.597"
"34","30","-0.601"
"11","31","-0.606"
"32","32","-0.781"
"33","33","-0.804"
"3","34","-0.826"
