"Atom number","Rang","Delta P"
"27","1","0.028"
"20","2","0.024"
"30","3","0.021"
"21","4","0.001"
"40","5","-0.023"
"23","6","-0.040"
"31","7","-0.056"
"4","8","-0.075"
"39","9","-0.078"
"24","10","-0.085"
"7","11","-0.088"
"11","12","-0.088"
"3","13","-0.092"
"6","14","-0.092"
"10","15","-0.092"
"26","16","-0.092"
"29","17","-0.092"
"5","18","-0.102"
"14","19","-0.132"
"13","20","-0.146"
"32","21","-0.165"
"22","22","-0.167"
"1","23","-0.178"
"15","24","-0.190"
"8","25","-0.193"
"44","26","-0.207"
"46","27","-0.207"
"16","28","-0.209"
"35","29","-0.212"
"34","30","-0.235"
"36","31","-0.235"
"17","32","-0.256"
"19","33","-0.258"
"2","34","-0.260"
"33","35","-0.260"
"37","36","-0.260"
"9","37","-0.277"
"38","38","-0.277"
"18","39","-0.286"
"28","40","-0.313"
"12","41","-0.315"
"25","42","-0.317"
"41","43","-0.351"
"43","44","-0.415"
"45","45","-0.415"
"42","46","-0.513"
