"Atom number","Rang","Delta P"
"14","1","0.011"
"17","2","-0.038"
"6","3","-0.052"
"10","4","-0.052"
"28","5","-0.052"
"20","6","-0.054"
"18","7","-0.077"
"9","8","-0.078"
"35","9","-0.084"
"2","10","-0.086"
"33","11","-0.098"
"24","12","-0.099"
"25","13","-0.099"
"26","14","-0.099"
"29","15","-0.121"
"22","16","-0.123"
"23","17","-0.127"
"1","18","-0.128"
"19","19","-0.148"
"16","20","-0.160"
"30","21","-0.163"
"7","22","-0.165"
"11","23","-0.166"
"34","24","-0.166"
"3","25","-0.171"
"31","26","-0.177"
"8","27","-0.181"
"32","28","-0.188"
"4","29","-0.203"
"13","30","-0.214"
"15","31","-0.225"
"5","32","-0.226"
"12","33","-0.243"
"27","34","-0.261"
"21","35","-0.264"
