"Atom number","Rang","Delta P"
"12","1","0.547"
"13","2","0.265"
"29","3","0.241"
"28","4","0.192"
"35","5","0.156"
"14","6","0.150"
"34","7","0.121"
"16","8","0.099"
"8","9","0.087"
"36","10","0.077"
"31","11","0.073"
"18","12","0.051"
"27","13","0.026"
"6","14","0.011"
"40","15","0.009"
"41","16","0.009"
"42","17","0.009"
"32","18","-0.005"
"25","19","-0.023"
"19","20","-0.037"
"30","21","-0.044"
"23","22","-0.069"
"37","23","-0.088"
"2","24","-0.090"
"10","25","-0.095"
"26","26","-0.104"
"9","27","-0.105"
"3","28","-0.115"
"22","29","-0.123"
"38","30","-0.131"
"7","31","-0.138"
"15","32","-0.141"
"39","33","-0.157"
"33","34","-0.271"
"17","35","-0.294"
"21","36","-0.295"
"1","37","-0.308"
"11","38","-0.311"
"24","39","-0.325"
"20","40","-0.354"
"5","41","-0.379"
"4","42","-0.427"
