"Atom number","Rang","Delta P"
"27","1","0.475"
"6","2","0.270"
"17","3","0.093"
"37","4","0.035"
"28","5","0.034"
"4","6","0.027"
"16","7","0.019"
"18","8","0.019"
"45","9","0.015"
"52","10","0.001"
"9","11","-0.003"
"24","12","-0.006"
"41","13","-0.006"
"10","14","-0.014"
"29","15","-0.019"
"11","16","-0.063"
"23","17","-0.068"
"39","18","-0.106"
"26","19","-0.108"
"50","20","-0.110"
"15","21","-0.113"
"19","22","-0.113"
"30","23","-0.113"
"32","24","-0.191"
"25","25","-0.198"
"2","26","-0.204"
"5","27","-0.204"
"53","28","-0.207"
"35","29","-0.215"
"55","30","-0.215"
"34","31","-0.222"
"56","32","-0.222"
"44","33","-0.224"
"31","34","-0.236"
"40","35","-0.264"
"13","36","-0.297"
"36","37","-0.316"
"46","38","-0.321"
"51","39","-0.333"
"33","40","-0.334"
"49","41","-0.337"
"21","42","-0.338"
"8","43","-0.348"
"48","44","-0.348"
"14","45","-0.355"
"20","46","-0.358"
"1","47","-0.364"
"43","48","-0.413"
"12","49","-0.427"
"22","50","-0.456"
"38","51","-0.489"
"47","52","-0.496"
"42","53","-0.528"
"3","54","-0.529"
"54","55","-0.531"
"7","56","-0.543"
