"Atom number","Rang","Delta P"
"1","1","0.372"
"8","2","0.274"
"10","3","0.274"
"3","4","0.124"
"16","5","0.064"
"17","6","-0.085"
"15","7","-0.104"
"12","8","-0.233"
"26","9","-0.252"
"27","10","-0.252"
"20","11","-0.292"
"25","12","-0.304"
"9","13","-0.316"
"11","14","-0.316"
"5","15","-0.328"
"23","16","-0.376"
"29","17","-0.382"
"4","18","-0.417"
"6","19","-0.441"
"24","20","-0.459"
"21","21","-0.464"
"28","22","-0.491"
"7","23","-0.533"
"2","24","-0.543"
"18","25","-0.573"
"13","26","-0.624"
"14","27","-0.643"
"22","28","-0.736"
"19","29","-0.836"
