"Atom number","Rang","Delta P"
"22","1","-0.001"
"2","2","-0.040"
"24","3","-0.042"
"7","4","-0.046"
"6","5","-0.050"
"9","6","-0.118"
"11","7","-0.118"
"25","8","-0.120"
"23","9","-0.124"
"5","10","-0.139"
"1","11","-0.141"
"21","12","-0.147"
"26","13","-0.152"
"27","14","-0.152"
"8","15","-0.158"
"10","16","-0.158"
"3","17","-0.224"
"18","18","-0.229"
"16","19","-0.236"
"12","20","-0.243"
"17","21","-0.263"
"19","22","-0.263"
"4","23","-0.269"
"28","24","-0.309"
"20","25","-0.331"
"15","26","-0.339"
"14","27","-0.444"
"29","28","-0.581"
"13","29","-0.604"
