"Atom number","Rang","Delta P"
"9","1","0.192"
"29","2","0.192"
"3","3","0.104"
"2","4","-0.079"
"1","5","-0.093"
"10","6","-0.117"
"28","7","-0.117"
"17","8","-0.211"
"4","9","-0.215"
"5","10","-0.240"
"27","11","-0.267"
"18","12","-0.298"
"8","13","-0.333"
"6","14","-0.348"
"11","15","-0.458"
"13","16","-0.459"
"7","17","-0.504"
"19","18","-0.514"
"26","19","-0.548"
"22","20","-0.551"
"23","21","-0.551"
"24","22","-0.551"
"21","23","-0.597"
"25","24","-0.687"
"16","25","-0.695"
"15","26","-0.777"
"14","27","-0.781"
"20","28","-0.800"
"12","29","-0.900"
