"Atom number","Rang","Delta P"
"2","1","0.452"
"43","2","0.385"
"45","3","0.385"
"8","4","0.282"
"41","5","0.250"
"28","6","0.236"
"44","7","0.173"
"46","8","0.173"
"24","9","0.156"
"25","10","0.147"
"42","11","0.126"
"35","12","0.098"
"3","13","0.064"
"10","14","0.064"
"26","15","0.064"
"29","16","0.064"
"9","17","0.018"
"33","18","0.015"
"37","19","0.015"
"34","20","-0.018"
"36","21","-0.018"
"6","22","-0.038"
"16","23","-0.062"
"17","24","-0.062"
"18","25","-0.070"
"20","26","-0.104"
"15","27","-0.108"
"1","28","-0.118"
"7","29","-0.130"
"21","30","-0.144"
"14","31","-0.160"
"11","32","-0.192"
"13","33","-0.199"
"39","34","-0.199"
"5","35","-0.212"
"32","36","-0.243"
"23","37","-0.245"
"31","38","-0.263"
"4","39","-0.292"
"19","40","-0.295"
"12","41","-0.316"
"27","42","-0.344"
"30","43","-0.344"
"22","44","-0.360"
"40","45","-0.433"
"38","46","-0.478"
