"Atom number","Rang","Delta P"
"30","1","0.738"
"31","2","0.542"
"16","3","0.307"
"6","4","0.283"
"3","5","0.220"
"5","6","0.083"
"28","7","0.083"
"17","8","0.077"
"11","9","0.068"
"15","10","0.068"
"12","11","0.037"
"19","12","0.024"
"21","13","0.024"
"10","14","-0.013"
"18","15","-0.043"
"22","16","-0.043"
"14","17","-0.142"
"7","18","-0.144"
"8","19","-0.174"
"29","20","-0.206"
"24","21","-0.237"
"25","22","-0.237"
"26","23","-0.320"
"9","24","-0.324"
"20","25","-0.345"
"4","26","-0.442"
"1","27","-0.455"
"13","28","-0.501"
"23","29","-0.516"
"27","30","-0.519"
"2","31","-0.570"
