"Atom number","Rang","Delta P"
"24","1","0.574"
"42","2","0.482"
"43","3","0.482"
"17","4","0.425"
"34","5","0.303"
"38","6","0.281"
"39","7","-0.019"
"28","8","-0.113"
"40","9","-0.193"
"27","10","-0.201"
"26","11","-0.269"
"1","12","-0.287"
"3","13","-0.297"
"2","14","-0.305"
"29","15","-0.383"
"41","16","-0.391"
"35","17","-0.405"
"7","18","-0.440"
"18","19","-0.448"
"19","20","-0.448"
"14","21","-0.498"
"36","22","-0.545"
"22","23","-0.555"
"37","24","-0.556"
"15","25","-0.581"
"5","26","-0.618"
"23","27","-0.643"
"12","28","-0.647"
"32","29","-0.656"
"4","30","-0.665"
"11","31","-0.678"
"25","32","-0.685"
"6","33","-0.692"
"16","34","-0.698"
"30","35","-0.699"
"8","36","-0.701"
"21","37","-0.715"
"20","38","-0.717"
"33","39","-0.724"
"13","40","-0.744"
"31","41","-0.786"
"10","42","-0.836"
"9","43","-0.854"
