"Atom number","Rang","Delta P"
"31","1","0.575"
"19","2","0.315"
"21","3","0.315"
"6","4","0.245"
"12","5","0.154"
"29","6","0.125"
"10","7","0.110"
"18","8","0.103"
"22","9","0.103"
"11","10","0.093"
"15","11","0.093"
"4","12","-0.008"
"14","13","-0.012"
"16","14","-0.098"
"7","15","-0.110"
"8","16","-0.113"
"24","17","-0.222"
"25","18","-0.222"
"5","19","-0.224"
"28","20","-0.224"
"26","21","-0.227"
"9","22","-0.233"
"30","23","-0.330"
"17","24","-0.351"
"27","25","-0.409"
"20","26","-0.436"
"1","27","-0.437"
"2","28","-0.451"
"23","29","-0.452"
"3","30","-0.471"
"13","31","-0.489"
