"Atom number","Rang","Delta P"
"70","1","0.028"
"62","2","0.010"
"80","3","0.010"
"45","4","0.008"
"1","5","0.006"
"66","6","-0.009"
"53","7","-0.012"
"58","8","-0.012"
"61","9","-0.016"
"64","10","-0.019"
"88","11","-0.020"
"87","12","-0.021"
"56","13","-0.027"
"55","14","-0.038"
"84","15","-0.040"
"74","16","-0.045"
"76","17","-0.045"
"42","18","-0.098"
"47","19","-0.103"
"77","20","-0.104"
"69","21","-0.131"
"31","22","-0.139"
"34","23","-0.139"
"3","24","-0.140"
"5","25","-0.140"
"21","26","-0.140"
"52","27","-0.169"
"68","28","-0.194"
"60","29","-0.206"
"41","30","-0.258"
"81","31","-0.282"
"71","32","-0.292"
"51","33","-0.294"
"48","34","-0.296"
"26","35","-0.320"
"29","36","-0.320"
"18","37","-0.330"
"59","38","-0.331"
"40","39","-0.333"
"54","40","-0.335"
"67","41","-0.362"
"72","42","-0.388"
"24","43","-0.399"
"25","44","-0.405"
"27","45","-0.405"
"43","46","-0.407"
"46","47","-0.407"
"50","48","-0.414"
"73","49","-0.421"
"75","50","-0.421"
"19","51","-0.463"
"32","52","-0.472"
"30","53","-0.479"
"23","54","-0.481"
"57","55","-0.491"
"83","56","-0.492"
"16","57","-0.511"
"12","58","-0.517"
"63","59","-0.526"
"65","60","-0.529"
"78","61","-0.529"
"17","62","-0.531"
"49","63","-0.538"
"28","64","-0.540"
"9","65","-0.562"
"44","66","-0.564"
"37","67","-0.566"
"35","68","-0.567"
"86","69","-0.568"
"39","70","-0.572"
"20","71","-0.578"
"4","72","-0.587"
"2","73","-0.592"
"33","74","-0.595"
"11","75","-0.596"
"13","76","-0.599"
"38","77","-0.610"
"7","78","-0.626"
"6","79","-0.629"
"36","80","-0.637"
"82","81","-0.644"
"85","82","-0.644"
"10","83","-0.672"
"79","84","-0.674"
"14","85","-0.703"
"8","86","-0.713"
"22","87","-0.718"
"15","88","-0.730"
