"Atom number","Rang","Delta P"
"14","1","0.610"
"17","2","0.610"
"7","3","0.168"
"8","4","0.168"
"9","5","0.168"
"12","6","0.149"
"11","7","0.132"
"30","8","0.117"
"4","9","0.061"
"13","10","-0.066"
"5","11","-0.082"
"20","12","-0.082"
"24","13","-0.082"
"27","14","-0.082"
"23","15","-0.242"
"29","16","-0.258"
"36","17","-0.268"
"1","18","-0.289"
"34","19","-0.292"
"6","20","-0.314"
"2","21","-0.326"
"18","22","-0.329"
"28","23","-0.331"
"25","24","-0.342"
"38","25","-0.401"
"39","26","-0.401"
"40","27","-0.401"
"35","28","-0.408"
"32","29","-0.415"
"3","30","-0.467"
"15","31","-0.469"
"16","32","-0.469"
"26","33","-0.471"
"33","34","-0.507"
"37","35","-0.522"
"19","36","-0.527"
"22","37","-0.565"
"10","38","-0.617"
"31","39","-0.746"
"21","40","-0.799"
