"Atom number","Rang","Delta P"
"15","1","0.622"
"5","2","0.146"
"20","3","0.128"
"24","4","0.088"
"23","5","-0.066"
"25","6","-0.066"
"16","7","-0.085"
"28","8","-0.085"
"17","9","-0.172"
"27","10","-0.172"
"1","11","-0.192"
"12","12","-0.217"
"22","13","-0.242"
"26","14","-0.242"
"2","15","-0.264"
"10","16","-0.376"
"14","17","-0.376"
"4","18","-0.455"
"21","19","-0.484"
"19","20","-0.509"
"18","21","-0.528"
"7","22","-0.551"
"6","23","-0.636"
"11","24","-0.665"
"13","25","-0.665"
"9","26","-0.764"
"3","27","-0.860"
"8","28","-0.884"
