"Atom number","Rang","Delta P"
"5","1","0.144"
"2","2","0.001"
"7","3","-0.035"
"31","4","-0.042"
"14","5","-0.074"
"18","6","-0.074"
"24","7","-0.074"
"29","8","-0.074"
"22","9","-0.081"
"11","10","-0.092"
"27","11","-0.101"
"28","12","-0.101"
"20","13","-0.119"
"1","14","-0.153"
"21","15","-0.161"
"30","16","-0.166"
"25","17","-0.183"
"26","18","-0.189"
"4","19","-0.194"
"3","20","-0.202"
"23","21","-0.221"
"15","22","-0.334"
"16","23","-0.334"
"8","24","-0.384"
"6","25","-0.418"
"12","26","-0.433"
"19","27","-0.433"
"13","28","-0.493"
"17","29","-0.493"
"10","30","-0.580"
"9","31","-0.583"
