"Atom number","Rang","Delta P"
"60","1","0.505"
"7","2","0.253"
"27","3","0.253"
"37","4","0.244"
"47","5","0.231"
"56","6","0.214"
"68","7","0.210"
"36","8","0.186"
"19","9","0.182"
"41","10","0.132"
"61","11","0.131"
"55","12","0.130"
"40","13","0.102"
"42","14","0.102"
"18","15","0.099"
"4","16","0.050"
"16","17","0.050"
"24","18","0.050"
"48","19","0.050"
"57","20","0.050"
"23","21","0.049"
"54","22","0.048"
"35","23","0.022"
"33","24","0.009"
"39","25","0.008"
"43","26","0.008"
"21","27","0.002"
"25","28","0.002"
"5","29","-0.007"
"26","30","-0.017"
"3","31","-0.039"
"49","32","-0.042"
"15","33","-0.055"
"6","34","-0.059"
"63","35","-0.078"
"59","36","-0.099"
"38","37","-0.112"
"65","38","-0.118"
"22","39","-0.120"
"17","40","-0.122"
"69","41","-0.138"
"34","42","-0.147"
"46","43","-0.149"
"62","44","-0.154"
"45","45","-0.174"
"2","46","-0.200"
"66","47","-0.200"
"9","48","-0.204"
"29","49","-0.204"
"32","50","-0.223"
"20","51","-0.230"
"11","52","-0.240"
"31","53","-0.240"
"44","54","-0.244"
"14","55","-0.271"
"67","56","-0.272"
"1","57","-0.275"
"51","58","-0.307"
"64","59","-0.307"
"10","60","-0.313"
"30","61","-0.313"
"52","62","-0.328"
"50","63","-0.338"
"8","64","-0.387"
"28","65","-0.387"
"53","66","-0.400"
"13","67","-0.407"
"12","68","-0.430"
"58","69","-0.481"
