"Atom number","Rang","Delta P"
"1","1","0.490"
"15","2","0.022"
"16","3","0.022"
"14","4","0.005"
"18","5","0.005"
"24","6","0.005"
"25","7","0.001"
"23","8","-0.045"
"27","9","-0.074"
"28","10","-0.074"
"13","11","-0.107"
"17","12","-0.107"
"12","13","-0.133"
"19","14","-0.133"
"9","15","-0.141"
"3","16","-0.144"
"26","17","-0.150"
"21","18","-0.198"
"30","19","-0.214"
"8","20","-0.224"
"31","21","-0.243"
"2","22","-0.256"
"4","23","-0.265"
"5","24","-0.273"
"7","25","-0.284"
"22","26","-0.299"
"20","27","-0.354"
"11","28","-0.405"
"10","29","-0.450"
"29","30","-0.588"
"6","31","-0.697"
