"Atom number","Rang","Delta P"
"18","1","0.037"
"21","2","0.037"
"14","3","-0.166"
"32","4","-0.174"
"17","5","-0.230"
"22","6","-0.230"
"30","7","-0.295"
"28","8","-0.354"
"9","9","-0.367"
"2","10","-0.421"
"4","11","-0.528"
"6","12","-0.566"
"19","13","-0.604"
"8","14","-0.653"
"1","15","-0.674"
"26","16","-0.677"
"16","17","-0.751"
"24","18","-0.777"
"33","19","-0.777"
"12","20","-0.779"
"15","21","-0.792"
"13","22","-0.810"
"3","23","-0.816"
"31","24","-0.819"
"5","25","-0.829"
"11","26","-0.835"
"29","27","-0.857"
"20","28","-0.866"
"10","29","-0.890"
"27","30","-0.895"
"25","31","-0.898"
"23","32","-0.904"
"7","33","-0.934"
