"Atom number","Rang","Delta P"
"9","1","0.468"
"6","2","0.192"
"24","3","0.049"
"18","4","0.037"
"31","5","0.037"
"7","6","0.010"
"8","7","-0.080"
"22","8","-0.087"
"1","9","-0.090"
"3","10","-0.129"
"19","11","-0.154"
"30","12","-0.154"
"13","13","-0.164"
"16","14","-0.164"
"2","15","-0.167"
"27","16","-0.177"
"12","17","-0.204"
"17","18","-0.204"
"4","19","-0.245"
"20","20","-0.248"
"26","21","-0.316"
"28","22","-0.342"
"25","23","-0.355"
"23","24","-0.391"
"21","25","-0.410"
"15","26","-0.441"
"29","27","-0.449"
"14","28","-0.461"
"11","29","-0.479"
"10","30","-0.501"
"5","31","-0.516"
