"Atom number","Rang","Delta P"
"27","1","-0.022"
"24","2","-0.029"
"83","3","-0.177"
"73","4","-0.211"
"75","5","-0.211"
"51","6","-0.218"
"67","7","-0.218"
"19","8","-0.224"
"71","9","-0.275"
"72","10","-0.275"
"40","11","-0.279"
"59","12","-0.290"
"54","13","-0.305"
"16","14","-0.328"
"17","15","-0.337"
"3","16","-0.341"
"5","17","-0.341"
"21","18","-0.341"
"18","19","-0.347"
"22","20","-0.364"
"65","21","-0.369"
"57","22","-0.421"
"63","23","-0.432"
"86","24","-0.432"
"2","25","-0.434"
"12","26","-0.439"
"50","27","-0.439"
"20","28","-0.442"
"46","29","-0.447"
"9","30","-0.455"
"11","31","-0.491"
"85","32","-0.492"
"26","33","-0.496"
"29","34","-0.496"
"32","35","-0.498"
"4","36","-0.508"
"23","37","-0.535"
"37","38","-0.547"
"33","39","-0.569"
"43","40","-0.570"
"7","41","-0.574"
"48","42","-0.588"
"69","43","-0.589"
"82","44","-0.617"
"78","45","-0.629"
"30","46","-0.645"
"44","47","-0.656"
"10","48","-0.659"
"36","49","-0.662"
"79","50","-0.662"
"39","51","-0.667"
"38","52","-0.670"
"8","53","-0.676"
"35","54","-0.681"
"25","55","-0.684"
"68","56","-0.688"
"28","57","-0.690"
"31","58","-0.708"
"56","59","-0.708"
"15","60","-0.712"
"13","61","-0.744"
"47","62","-0.748"
"52","63","-0.748"
"53","64","-0.748"
"55","65","-0.748"
"58","66","-0.748"
"61","67","-0.748"
"64","68","-0.748"
"66","69","-0.748"
"74","70","-0.748"
"76","71","-0.748"
"84","72","-0.748"
"87","73","-0.748"
"88","74","-0.748"
"6","75","-0.772"
"14","76","-0.774"
"1","77","-0.779"
"70","78","-0.793"
"45","79","-0.798"
"60","80","-0.798"
"62","81","-0.798"
"80","82","-0.798"
"49","83","-0.824"
"34","84","-0.844"
"42","85","-0.844"
"81","86","-0.844"
"77","87","-0.870"
"41","88","-0.911"
