"Atom number","Rang","Delta P"
"15","1","0.445"
"12","2","0.125"
"11","3","0.015"
"21","4","0.014"
"28","5","-0.022"
"34","6","-0.022"
"26","7","-0.059"
"30","8","-0.160"
"36","9","-0.160"
"10","10","-0.178"
"2","11","-0.237"
"14","12","-0.285"
"1","13","-0.309"
"13","14","-0.357"
"8","15","-0.407"
"32","16","-0.420"
"38","17","-0.420"
"3","18","-0.448"
"7","19","-0.465"
"20","20","-0.542"
"18","21","-0.612"
"23","22","-0.612"
"25","23","-0.623"
"6","24","-0.654"
"4","25","-0.666"
"5","26","-0.752"
"17","27","-0.884"
"19","28","-0.884"
"22","29","-0.884"
"24","30","-0.884"
"29","31","-0.884"
"31","32","-0.884"
"33","33","-0.884"
"35","34","-0.884"
"37","35","-0.884"
"39","36","-0.884"
"27","37","-0.887"
"9","38","-0.897"
"16","39","-0.941"
