"Atom number","Rang","Delta P"
"24","1","0.292"
"27","2","0.233"
"51","3","0.196"
"67","4","0.196"
"20","5","0.161"
"59","6","0.140"
"73","7","0.015"
"75","8","0.015"
"19","9","0.000"
"85","10","-0.037"
"38","11","-0.042"
"83","12","-0.077"
"54","13","-0.093"
"16","14","-0.168"
"17","15","-0.169"
"50","16","-0.173"
"65","17","-0.186"
"86","18","-0.204"
"11","19","-0.221"
"14","20","-0.222"
"2","21","-0.236"
"57","22","-0.236"
"63","23","-0.270"
"18","24","-0.295"
"71","25","-0.295"
"72","26","-0.295"
"3","27","-0.307"
"5","28","-0.307"
"21","29","-0.307"
"9","30","-0.312"
"37","31","-0.315"
"23","32","-0.324"
"40","33","-0.326"
"4","34","-0.372"
"46","35","-0.377"
"12","36","-0.418"
"33","37","-0.445"
"26","38","-0.447"
"29","39","-0.447"
"44","40","-0.453"
"36","41","-0.464"
"79","42","-0.464"
"10","43","-0.500"
"7","44","-0.517"
"32","45","-0.527"
"48","46","-0.543"
"15","47","-0.545"
"82","48","-0.554"
"39","49","-0.561"
"22","50","-0.564"
"28","51","-0.573"
"69","52","-0.573"
"43","53","-0.604"
"78","54","-0.604"
"25","55","-0.640"
"8","56","-0.647"
"30","57","-0.649"
"35","58","-0.649"
"13","59","-0.661"
"56","60","-0.681"
"6","61","-0.691"
"31","62","-0.697"
"47","63","-0.734"
"55","64","-0.734"
"61","65","-0.734"
"64","66","-0.734"
"68","67","-0.734"
"74","68","-0.734"
"76","69","-0.734"
"84","70","-0.734"
"87","71","-0.734"
"88","72","-0.734"
"1","73","-0.780"
"45","74","-0.780"
"52","75","-0.780"
"53","76","-0.780"
"58","77","-0.780"
"62","78","-0.780"
"66","79","-0.780"
"80","80","-0.780"
"49","81","-0.798"
"42","82","-0.809"
"34","83","-0.817"
"60","84","-0.817"
"77","85","-0.817"
"81","86","-0.817"
"70","87","-0.843"
"41","88","-0.868"
