"Atom number","Rang","Delta P"
"10","1","0.023"
"30","2","0.023"
"11","3","-0.013"
"31","4","-0.013"
"59","5","-0.027"
"8","6","-0.028"
"28","7","-0.028"
"52","8","-0.028"
"69","9","-0.037"
"4","10","-0.043"
"16","11","-0.043"
"24","12","-0.043"
"48","13","-0.043"
"12","14","-0.053"
"32","15","-0.053"
"46","16","-0.053"
"22","17","-0.057"
"62","18","-0.059"
"2","19","-0.061"
"44","20","-0.063"
"14","21","-0.066"
"20","22","-0.066"
"34","23","-0.066"
"60","24","-0.078"
"36","25","-0.088"
"61","26","-0.094"
"9","27","-0.096"
"29","28","-0.096"
"68","29","-0.096"
"41","30","-0.099"
"45","31","-0.100"
"6","32","-0.103"
"7","33","-0.103"
"26","34","-0.103"
"27","35","-0.103"
"1","36","-0.104"
"63","37","-0.107"
"5","38","-0.108"
"19","39","-0.114"
"40","40","-0.114"
"42","41","-0.114"
"38","42","-0.115"
"55","43","-0.115"
"13","44","-0.116"
"21","45","-0.116"
"37","46","-0.116"
"56","47","-0.116"
"33","48","-0.117"
"65","49","-0.117"
"67","50","-0.118"
"25","51","-0.119"
"18","52","-0.123"
"49","53","-0.124"
"66","54","-0.125"
"64","55","-0.127"
"17","56","-0.129"
"3","57","-0.134"
"23","58","-0.134"
"47","59","-0.134"
"54","60","-0.136"
"57","61","-0.136"
"39","62","-0.140"
"43","63","-0.140"
"15","64","-0.145"
"51","65","-0.155"
"35","66","-0.170"
"50","67","-0.173"
"53","68","-0.179"
"58","69","-0.190"
