"Atom number","Rang","Delta P"
"36","1","0.692"
"1","2","0.432"
"11","3","-0.067"
"3","4","-0.308"
"31","5","-0.348"
"34","6","-0.348"
"4","7","-0.352"
"26","8","-0.362"
"7","9","-0.408"
"10","10","-0.408"
"14","11","-0.408"
"17","12","-0.408"
"20","13","-0.408"
"22","14","-0.432"
"16","15","-0.472"
"30","16","-0.505"
"35","17","-0.505"
"13","18","-0.543"
"19","19","-0.545"
"6","20","-0.561"
"9","21","-0.581"
"24","22","-0.639"
"27","23","-0.653"
"2","24","-0.744"
"23","25","-0.749"
"5","26","-0.768"
"8","27","-0.801"
"32","28","-0.833"
"29","29","-0.841"
"15","30","-0.848"
"25","31","-0.853"
"12","32","-0.870"
"18","33","-0.879"
"21","34","-0.879"
"28","35","-0.880"
"33","36","-0.880"
