"Atom number","Rang","Delta P"
"36","1","0.289"
"1","2","0.260"
"11","3","0.209"
"3","4","-0.157"
"19","5","-0.172"
"31","6","-0.201"
"34","7","-0.201"
"24","8","-0.278"
"4","9","-0.279"
"13","10","-0.301"
"30","11","-0.322"
"35","12","-0.322"
"16","13","-0.325"
"26","14","-0.381"
"27","15","-0.393"
"22","16","-0.404"
"7","17","-0.422"
"10","18","-0.422"
"14","19","-0.422"
"17","20","-0.422"
"20","21","-0.422"
"23","22","-0.442"
"6","23","-0.452"
"9","24","-0.465"
"2","25","-0.579"
"5","26","-0.607"
"25","27","-0.705"
"32","28","-0.762"
"29","29","-0.783"
"8","30","-0.801"
"28","31","-0.814"
"15","32","-0.824"
"12","33","-0.832"
"33","34","-0.839"
"18","35","-0.856"
"21","36","-0.856"
