"Atom number","Rang","Delta P"
"13","1","0.528"
"28","2","0.488"
"12","3","0.373"
"18","4","0.155"
"29","5","0.144"
"6","6","0.079"
"31","7","0.058"
"23","8","0.046"
"32","9","0.007"
"14","10","-0.007"
"3","11","-0.048"
"9","12","-0.080"
"37","13","-0.091"
"8","14","-0.095"
"7","15","-0.108"
"10","16","-0.127"
"15","17","-0.156"
"19","18","-0.156"
"34","19","-0.174"
"16","20","-0.175"
"24","21","-0.208"
"30","22","-0.212"
"36","23","-0.237"
"38","24","-0.238"
"35","25","-0.270"
"17","26","-0.271"
"40","27","-0.284"
"41","28","-0.284"
"42","29","-0.284"
"22","30","-0.292"
"39","31","-0.294"
"27","32","-0.307"
"33","33","-0.308"
"25","34","-0.341"
"26","35","-0.366"
"2","36","-0.403"
"5","37","-0.403"
"20","38","-0.424"
"4","39","-0.453"
"21","40","-0.472"
"1","41","-0.489"
"11","42","-0.489"
