top_n,sygma,metareactseed42,metareactseed8079,metapredictor,metatrans,ourmodel
top_1,0.0,0.3333333333333333,0.3333333333333333,0.1,0.03333333333333333,0.3333333333333333
top_3,0.4,0.7,0.6333333333333333,0.26666666666666666,0.3,0.7
top_5,0.5,0.9,0.8,0.4,0.4666666666666667,0.8666666666666667
