smiles,downloadsindex
Smiles string: C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,
Smiles string: CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,
Smiles string: CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,
Smiles string: CC(CN1c2ccccc2Sc2ccccc21)N(C)C,
Smiles string: CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,
Smiles string: CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,
Smiles string: CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,
Smiles string: CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,
Smiles string: CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,
Smiles string: CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,
Smiles string: CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,
Smiles string: CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,
Smiles string: CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,
Smiles string: CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,
Smiles string: CCN(CC)CCOC(=O)c1ccc(N)cc1,
Smiles string: CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,
