"Atom number","Rang","Delta P"
"40","1","0.604"
"13","2","0.551"
"16","3","0.441"
"17","4","0.441"
"19","5","0.441"
"20","6","0.441"
"22","7","0.441"
"23","8","0.441"
"25","9","0.441"
"26","10","0.441"
"28","11","0.441"
"29","12","0.441"
"31","13","0.441"
"32","14","0.441"
"34","15","0.441"
"35","16","0.441"
"4","17","0.411"
"37","18","0.396"
"14","19","0.389"
"38","20","0.379"
"2","21","0.352"
"1","22","0.243"
"3","23","0.061"
"7","24","-0.023"
"42","25","-0.023"
"6","26","-0.365"
"8","27","-0.369"
"41","28","-0.369"
"5","29","-0.518"
"10","30","-0.518"
"15","31","-0.580"
"18","32","-0.580"
"21","33","-0.580"
"24","34","-0.580"
"27","35","-0.580"
"30","36","-0.580"
"33","37","-0.580"
"36","38","-0.580"
"11","39","-0.617"
"9","40","-0.648"
"39","41","-0.788"
"12","42","-0.863"
