"Atom number","Rang","Delta P"
"1","1","0.632"
"6","2","0.100"
"20","3","0.042"
"23","4","0.042"
"3","5","0.019"
"28","6","0.019"
"17","7","0.007"
"14","8","-0.086"
"11","9","-0.127"
"26","10","-0.127"
"15","11","-0.168"
"4","12","-0.181"
"27","13","-0.181"
"12","14","-0.185"
"25","15","-0.185"
"2","16","-0.271"
"19","17","-0.303"
"24","18","-0.303"
"9","19","-0.335"
"18","20","-0.341"
"21","21","-0.382"
"16","22","-0.393"
"13","23","-0.409"
"10","24","-0.462"
"7","25","-0.471"
"8","26","-0.471"
"5","27","-0.593"
"22","28","-0.606"
