"Atom number","Rang","Delta P"
"18","1","0.748"
"2","2","0.581"
"1","3","0.459"
"3","4","0.206"
"17","5","0.084"
"15","6","-0.017"
"14","7","-0.036"
"7","8","-0.047"
"16","9","-0.123"
"28","10","-0.128"
"4","11","-0.138"
"8","12","-0.198"
"19","13","-0.242"
"10","14","-0.245"
"27","15","-0.249"
"21","16","-0.254"
"22","17","-0.262"
"12","18","-0.279"
"11","19","-0.291"
"25","20","-0.417"
"13","21","-0.455"
"20","22","-0.480"
"5","23","-0.496"
"6","24","-0.500"
"26","25","-0.584"
"23","26","-0.601"
"9","27","-0.607"
"24","28","-0.783"
