"Atom number","Rang","Delta P"
"1","1","0.542"
"34","2","0.258"
"35","3","0.258"
"36","4","0.258"
"6","5","0.102"
"7","6","-0.044"
"16","7","-0.051"
"19","8","-0.106"
"28","9","-0.148"
"12","10","-0.164"
"17","11","-0.173"
"33","12","-0.190"
"24","13","-0.287"
"9","14","-0.319"
"20","15","-0.402"
"31","16","-0.437"
"23","17","-0.446"
"18","18","-0.508"
"14","19","-0.529"
"15","20","-0.529"
"5","21","-0.533"
"13","22","-0.533"
"8","23","-0.558"
"30","24","-0.565"
"4","25","-0.567"
"32","26","-0.568"
"26","27","-0.571"
"10","28","-0.577"
"2","29","-0.627"
"3","30","-0.656"
"25","31","-0.679"
"21","32","-0.688"
"29","33","-0.740"
"11","34","-0.796"
"27","35","-0.850"
"22","36","-0.900"
