"Atom number","Rang","Delta P"
"7","1","0.115"
"21","2","0.115"
"38","3","0.081"
"59","4","0.081"
"3","5","0.078"
"18","6","0.078"
"36","7","0.028"
"57","8","0.028"
"34","9","0.025"
"55","10","0.025"
"32","11","-0.005"
"53","12","-0.005"
"27","13","-0.089"
"48","14","-0.089"
"1","15","-0.096"
"17","16","-0.096"
"24","17","-0.096"
"62","18","-0.096"
"29","19","-0.231"
"50","20","-0.231"
"23","21","-0.305"
"61","22","-0.305"
"40","23","-0.351"
"45","24","-0.351"
"2","25","-0.396"
"10","26","-0.396"
"14","27","-0.396"
"16","28","-0.396"
"4","29","-0.446"
"5","30","-0.446"
"15","31","-0.446"
"19","32","-0.446"
"31","33","-0.446"
"39","34","-0.446"
"41","35","-0.446"
"44","36","-0.446"
"46","37","-0.446"
"52","38","-0.446"
"6","39","-0.496"
"8","40","-0.496"
"20","41","-0.496"
"22","42","-0.496"
"25","43","-0.496"
"26","44","-0.496"
"47","45","-0.496"
"60","46","-0.496"
"28","47","-0.541"
"35","48","-0.541"
"49","49","-0.541"
"56","50","-0.541"
"11","51","-0.613"
"12","52","-0.613"
"9","53","-0.622"
"13","54","-0.622"
"42","55","-0.622"
"43","56","-0.622"
"30","57","-0.628"
"33","58","-0.628"
"51","59","-0.628"
"54","60","-0.628"
"37","61","-0.668"
"58","62","-0.668"
