"Atom number","Rang","Delta P"
"2","1","0.387"
"20","2","0.245"
"14","3","0.200"
"16","4","0.200"
"26","5","0.116"
"3","6","0.041"
"6","7","-0.015"
"18","8","-0.028"
"27","9","-0.043"
"8","10","-0.053"
"7","11","-0.069"
"9","12","-0.072"
"1","13","-0.105"
"12","14","-0.120"
"19","15","-0.128"
"10","16","-0.186"
"11","17","-0.230"
"22","18","-0.239"
"31","19","-0.261"
"28","20","-0.345"
"15","21","-0.358"
"29","22","-0.373"
"5","23","-0.381"
"13","24","-0.390"
"17","25","-0.390"
"25","26","-0.399"
"24","27","-0.483"
"30","28","-0.493"
"23","29","-0.525"
"21","30","-0.587"
"4","31","-0.608"
