"Atom number","Rang","Delta P"
"21","1","0.147"
"4","2","0.007"
"20","3","-0.050"
"14","4","-0.088"
"41","5","-0.137"
"38","6","-0.174"
"15","7","-0.178"
"1","8","-0.192"
"3","9","-0.192"
"19","10","-0.201"
"26","11","-0.214"
"8","12","-0.217"
"7","13","-0.219"
"18","14","-0.231"
"22","15","-0.234"
"23","16","-0.234"
"16","17","-0.235"
"17","18","-0.250"
"42","19","-0.266"
"6","20","-0.267"
"25","21","-0.281"
"9","22","-0.282"
"11","23","-0.287"
"2","24","-0.288"
"28","25","-0.298"
"12","26","-0.313"
"37","27","-0.318"
"32","28","-0.328"
"27","29","-0.342"
"24","30","-0.343"
"33","31","-0.346"
"10","32","-0.347"
"5","33","-0.352"
"29","34","-0.355"
"31","35","-0.363"
"35","36","-0.370"
"34","37","-0.375"
"30","38","-0.385"
"36","39","-0.388"
"40","40","-0.411"
"13","41","-0.432"
"39","42","-0.446"
