"Atom number","Rang","Delta P"
"1","1","0.649"
"16","2","0.272"
"28","3","0.238"
"12","4","0.236"
"6","5","0.219"
"7","6","0.179"
"19","7","0.119"
"24","8","0.083"
"34","9","0.073"
"35","10","0.073"
"36","11","0.073"
"33","12","0.041"
"17","13","0.025"
"9","14","0.024"
"14","15","-0.061"
"15","16","-0.061"
"13","17","-0.066"
"18","18","-0.140"
"10","19","-0.148"
"26","20","-0.157"
"31","21","-0.162"
"5","22","-0.185"
"30","23","-0.185"
"20","24","-0.196"
"23","25","-0.231"
"8","26","-0.283"
"32","27","-0.297"
"2","28","-0.355"
"4","29","-0.395"
"11","30","-0.409"
"25","31","-0.414"
"3","32","-0.462"
"29","33","-0.474"
"21","34","-0.499"
"27","35","-0.519"
"22","36","-0.670"
