"Atom number","Rang","Delta P"
"24","1","0.081"
"21","2","-0.004"
"15","3","-0.035"
"6","4","-0.041"
"19","5","-0.063"
"30","6","-0.063"
"26","7","-0.099"
"28","8","-0.099"
"1","9","-0.107"
"4","10","-0.107"
"20","11","-0.120"
"14","12","-0.124"
"16","13","-0.126"
"22","14","-0.126"
"3","15","-0.129"
"2","16","-0.140"
"5","17","-0.143"
"9","18","-0.144"
"25","19","-0.146"
"27","20","-0.146"
"18","21","-0.147"
"29","22","-0.147"
"10","23","-0.148"
"7","24","-0.152"
"13","25","-0.152"
"17","26","-0.154"
"31","27","-0.154"
"23","28","-0.155"
"8","29","-0.175"
"11","30","-0.176"
"12","31","-0.189"
