"Atom number","Rang","Delta P"
"22","1","0.589"
"9","2","0.344"
"15","3","-0.090"
"7","4","-0.097"
"8","5","-0.097"
"1","6","-0.133"
"21","7","-0.139"
"10","8","-0.151"
"6","9","-0.178"
"5","10","-0.182"
"2","11","-0.186"
"18","12","-0.225"
"11","13","-0.244"
"26","14","-0.244"
"20","15","-0.252"
"23","16","-0.252"
"12","17","-0.255"
"25","18","-0.255"
"3","19","-0.263"
"28","20","-0.263"
"19","21","-0.278"
"24","22","-0.278"
"4","23","-0.279"
"27","24","-0.279"
"13","25","-0.307"
"17","26","-0.436"
"14","27","-0.447"
"16","28","-0.596"
