"Atom number","Rang","Delta P"
"23","1","0.169"
"26","2","0.029"
"16","3","-0.011"
"3","4","-0.039"
"5","5","-0.068"
"21","6","-0.099"
"9","7","-0.125"
"17","8","-0.127"
"27","9","-0.130"
"28","10","-0.130"
"25","11","-0.132"
"29","12","-0.140"
"18","13","-0.141"
"8","14","-0.156"
"19","15","-0.159"
"24","16","-0.161"
"13","17","-0.163"
"22","18","-0.170"
"10","19","-0.190"
"20","20","-0.197"
"12","21","-0.198"
"14","22","-0.198"
"1","23","-0.217"
"4","24","-0.220"
"6","25","-0.240"
"7","26","-0.261"
"11","27","-0.279"
"15","28","-0.279"
"2","29","-0.383"
