"Atom number","Rang","Delta P"
"10","1","0.532"
"13","2","-0.024"
"15","3","-0.024"
"21","4","-0.024"
"1","5","-0.086"
"23","6","-0.106"
"17","7","-0.113"
"4","8","-0.116"
"11","9","-0.169"
"19","10","-0.213"
"25","11","-0.225"
"3","12","-0.268"
"16","13","-0.306"
"22","14","-0.313"
"5","15","-0.350"
"9","16","-0.420"
"8","17","-0.439"
"6","18","-0.570"
"12","19","-0.609"
"2","20","-0.719"
"7","21","-0.734"
"24","22","-0.818"
"14","23","-0.822"
"26","24","-0.851"
"20","25","-0.895"
"18","26","-0.935"
