"Atom number","Rang","Delta P"
"4","1","0.769"
"40","2","0.642"
"13","3","0.327"
"16","4","0.323"
"17","5","0.323"
"19","6","0.323"
"20","7","0.323"
"22","8","0.323"
"23","9","0.323"
"25","10","0.323"
"26","11","0.323"
"28","12","0.323"
"29","13","0.323"
"31","14","0.323"
"32","15","0.323"
"34","16","0.323"
"35","17","0.323"
"14","18","0.318"
"37","19","0.297"
"2","20","0.244"
"1","21","0.182"
"3","22","0.132"
"38","23","0.016"
"7","24","-0.084"
"42","25","-0.084"
"10","26","-0.412"
"8","27","-0.423"
"41","28","-0.423"
"6","29","-0.641"
"5","30","-0.679"
"15","31","-0.720"
"18","32","-0.720"
"21","33","-0.720"
"24","34","-0.720"
"27","35","-0.720"
"30","36","-0.720"
"33","37","-0.720"
"36","38","-0.720"
"9","39","-0.745"
"11","40","-0.777"
"39","41","-0.899"
"12","42","-0.939"
