"Atom number","Rang","Delta P"
"19","1","0.146"
"2","2","0.072"
"3","3","0.043"
"4","4","-0.001"
"28","5","-0.017"
"27","6","-0.033"
"17","7","-0.050"
"14","8","-0.054"
"20","9","-0.062"
"22","10","-0.065"
"1","11","-0.082"
"25","12","-0.126"
"21","13","-0.138"
"5","14","-0.156"
"18","15","-0.156"
"15","16","-0.161"
"13","17","-0.175"
"16","18","-0.202"
"12","19","-0.231"
"23","20","-0.279"
"6","21","-0.326"
"7","22","-0.355"
"11","23","-0.432"
"24","24","-0.438"
"8","25","-0.439"
"26","26","-0.527"
"10","27","-0.598"
"9","28","-0.722"
