"Atom number","Rang","Delta P"
"1","1","0.472"
"17","2","0.240"
"20","3","0.150"
"23","4","0.150"
"16","5","0.046"
"11","6","-0.049"
"26","7","-0.049"
"3","8","-0.054"
"28","9","-0.054"
"14","10","-0.144"
"19","11","-0.204"
"24","12","-0.204"
"21","13","-0.205"
"12","14","-0.278"
"25","15","-0.278"
"2","16","-0.290"
"4","17","-0.369"
"27","18","-0.369"
"6","19","-0.443"
"18","20","-0.475"
"13","21","-0.549"
"10","22","-0.552"
"7","23","-0.607"
"8","24","-0.607"
"15","25","-0.652"
"5","26","-0.664"
"22","27","-0.740"
"9","28","-0.858"
