"Atom number","Rang","Delta P"
"1","1","0.738"
"3","2","0.738"
"20","3","0.735"
"21","4","0.735"
"2","5","0.435"
"19","6","0.316"
"13","7","-0.041"
"16","8","-0.041"
"18","9","-0.041"
"17","10","-0.093"
"6","11","-0.252"
"11","12","-0.255"
"5","13","-0.289"
"30","14","-0.313"
"14","15","-0.324"
"26","16","-0.335"
"29","17","-0.338"
"28","18","-0.405"
"22","19","-0.428"
"31","20","-0.459"
"36","21","-0.460"
"15","22","-0.464"
"27","23","-0.465"
"24","24","-0.494"
"4","25","-0.509"
"23","26","-0.525"
"33","27","-0.540"
"12","28","-0.609"
"34","29","-0.631"
"8","30","-0.644"
"9","31","-0.665"
"25","32","-0.695"
"7","33","-0.715"
"32","34","-0.744"
"10","35","-0.802"
"35","36","-0.836"
