"Atom number","Rang","Delta P"
"1","1","0.458"
"24","2","0.310"
"5","3","0.008"
"28","4","-0.095"
"12","5","-0.126"
"16","6","-0.133"
"4","7","-0.153"
"3","8","-0.178"
"31","9","-0.187"
"8","10","-0.196"
"9","11","-0.196"
"21","12","-0.232"
"15","13","-0.238"
"25","14","-0.256"
"7","15","-0.266"
"10","16","-0.266"
"32","17","-0.297"
"17","18","-0.341"
"6","19","-0.374"
"29","20","-0.420"
"18","21","-0.422"
"2","22","-0.445"
"13","23","-0.454"
"30","24","-0.548"
"26","25","-0.554"
"22","26","-0.574"
"11","27","-0.575"
"14","28","-0.577"
"19","29","-0.584"
"20","30","-0.632"
"27","31","-0.669"
"23","32","-0.679"
