"Atom number","Rang","Delta P"
"4","1","0.770"
"40","2","0.614"
"13","3","0.277"
"37","4","0.148"
"2","5","0.147"
"16","6","0.113"
"17","7","0.113"
"19","8","0.113"
"20","9","0.113"
"22","10","0.113"
"23","11","0.113"
"25","12","0.113"
"26","13","0.113"
"28","14","0.113"
"29","15","0.113"
"31","16","0.113"
"32","17","0.113"
"34","18","0.113"
"35","19","0.113"
"14","20","0.047"
"38","21","-0.190"
"1","22","-0.272"
"7","23","-0.383"
"42","24","-0.383"
"3","25","-0.432"
"10","26","-0.699"
"8","27","-0.721"
"41","28","-0.721"
"6","29","-0.784"
"5","30","-0.861"
"15","31","-0.904"
"18","32","-0.904"
"21","33","-0.904"
"24","34","-0.904"
"27","35","-0.904"
"30","36","-0.904"
"33","37","-0.904"
"36","38","-0.904"
"11","39","-0.906"
"9","40","-0.916"
"39","41","-0.970"
"12","42","-0.975"
