"Atom number","Rang","Delta P"
"40","1","0.551"
"4","2","0.444"
"13","3","0.349"
"16","4","0.248"
"17","5","0.248"
"19","6","0.248"
"20","7","0.248"
"22","8","0.248"
"23","9","0.248"
"25","10","0.248"
"26","11","0.248"
"28","12","0.248"
"29","13","0.248"
"31","14","0.248"
"32","15","0.248"
"34","16","0.248"
"35","17","0.248"
"14","18","0.177"
"37","19","0.158"
"2","20","0.104"
"38","21","0.005"
"1","22","-0.030"
"7","23","-0.223"
"42","24","-0.223"
"3","25","-0.275"
"8","26","-0.297"
"41","27","-0.297"
"10","28","-0.400"
"9","29","-0.579"
"5","30","-0.680"
"6","31","-0.699"
"11","32","-0.701"
"15","33","-0.712"
"18","34","-0.712"
"21","35","-0.712"
"24","36","-0.712"
"27","37","-0.712"
"30","38","-0.712"
"33","39","-0.712"
"36","40","-0.712"
"39","41","-0.873"
"12","42","-0.903"
