"Atom number","Rang","Delta P"
"2","1","0.295"
"26","2","0.076"
"27","3","0.019"
"3","4","-0.058"
"1","5","-0.113"
"12","6","-0.120"
"18","7","-0.143"
"22","8","-0.210"
"9","9","-0.211"
"14","10","-0.217"
"16","11","-0.217"
"31","12","-0.235"
"15","13","-0.236"
"10","14","-0.237"
"6","15","-0.244"
"8","16","-0.246"
"28","17","-0.254"
"19","18","-0.277"
"29","19","-0.303"
"23","20","-0.317"
"7","21","-0.340"
"13","22","-0.340"
"17","23","-0.340"
"25","24","-0.348"
"20","25","-0.355"
"30","26","-0.357"
"5","27","-0.373"
"11","28","-0.376"
"24","29","-0.376"
"4","30","-0.520"
"21","31","-0.589"
