"Atom number","Rang","Delta P"
"4","1","0.190"
"27","2","0.177"
"26","3","0.121"
"25","4","0.111"
"5","5","-0.008"
"1","6","-0.028"
"28","7","-0.056"
"10","8","-0.060"
"3","9","-0.128"
"7","10","-0.128"
"9","11","-0.128"
"12","12","-0.128"
"23","13","-0.128"
"30","14","-0.128"
"33","15","-0.128"
"2","16","-0.182"
"22","17","-0.196"
"6","18","-0.199"
"11","19","-0.228"
"32","20","-0.269"
"24","21","-0.406"
"29","22","-0.409"
"21","23","-0.459"
"8","24","-0.519"
"31","25","-0.631"
"14","26","-0.653"
"16","27","-0.699"
"15","28","-0.733"
"17","29","-0.804"
"18","30","-0.828"
"13","31","-0.853"
"19","32","-0.891"
"20","33","-0.975"
