"Atom number","Rang","Delta P"
"40","1","0.029"
"45","2","0.029"
"31","3","-0.049"
"52","4","-0.049"
"39","5","-0.087"
"46","6","-0.087"
"41","7","-0.277"
"44","8","-0.277"
"5","9","-0.339"
"19","10","-0.339"
"35","11","-0.350"
"56","12","-0.350"
"33","13","-0.421"
"54","14","-0.421"
"26","15","-0.462"
"47","16","-0.462"
"28","17","-0.504"
"49","18","-0.504"
"37","19","-0.555"
"58","20","-0.555"
"10","21","-0.558"
"14","22","-0.558"
"23","23","-0.560"
"61","24","-0.560"
"30","25","-0.563"
"51","26","-0.563"
"24","27","-0.565"
"62","28","-0.565"
"2","29","-0.618"
"16","30","-0.618"
"6","31","-0.620"
"20","32","-0.620"
"8","33","-0.638"
"22","34","-0.638"
"25","35","-0.657"
"60","36","-0.657"
"11","37","-0.700"
"12","38","-0.700"
"1","39","-0.703"
"17","40","-0.703"
"32","41","-0.703"
"34","42","-0.703"
"36","43","-0.703"
"53","44","-0.703"
"55","45","-0.703"
"57","46","-0.703"
"4","47","-0.766"
"15","48","-0.766"
"7","49","-0.768"
"21","50","-0.768"
"27","51","-0.768"
"29","52","-0.768"
"38","53","-0.768"
"48","54","-0.768"
"50","55","-0.768"
"59","56","-0.768"
"42","57","-0.814"
"43","58","-0.814"
"3","59","-0.823"
"18","60","-0.823"
"9","61","-0.888"
"13","62","-0.888"
