"Atom number","Rang","Delta P"
"2","1","0.589"
"3","2","0.166"
"8","3","0.116"
"1","4","0.059"
"14","5","0.036"
"16","6","0.036"
"18","7","0.023"
"26","8","0.020"
"22","9","0.013"
"27","10","0.013"
"6","11","-0.011"
"12","12","-0.029"
"21","13","-0.031"
"7","14","-0.045"
"9","15","-0.063"
"19","16","-0.068"
"20","17","-0.086"
"31","18","-0.093"
"5","19","-0.096"
"10","20","-0.131"
"29","21","-0.210"
"25","22","-0.277"
"30","23","-0.278"
"11","24","-0.291"
"28","25","-0.356"
"15","26","-0.365"
"24","27","-0.385"
"13","28","-0.396"
"17","29","-0.396"
"23","30","-0.450"
"4","31","-0.495"
