"Atom number","Rang","Delta P"
"27","1","0.771"
"2","2","0.662"
"19","3","0.100"
"10","4","0.070"
"30","5","0.000"
"17","6","-0.004"
"11","7","-0.053"
"7","8","-0.078"
"6","9","-0.089"
"21","10","-0.094"
"8","11","-0.104"
"3","12","-0.145"
"4","13","-0.145"
"1","14","-0.158"
"26","15","-0.179"
"23","16","-0.206"
"31","17","-0.206"
"29","18","-0.209"
"37","19","-0.252"
"15","20","-0.266"
"24","21","-0.268"
"5","22","-0.305"
"36","23","-0.311"
"25","24","-0.323"
"39","25","-0.346"
"34","26","-0.352"
"14","27","-0.358"
"9","28","-0.362"
"40","29","-0.378"
"22","30","-0.445"
"28","31","-0.451"
"35","32","-0.466"
"13","33","-0.505"
"33","34","-0.510"
"20","35","-0.513"
"16","36","-0.516"
"18","37","-0.517"
"12","38","-0.522"
"32","39","-0.583"
"38","40","-0.617"
