"Atom number","Rang","Delta P"
"1","1","0.573"
"20","2","0.063"
"23","3","0.063"
"14","4","-0.067"
"17","5","-0.083"
"16","6","-0.281"
"3","7","-0.304"
"11","8","-0.304"
"26","9","-0.304"
"28","10","-0.304"
"12","11","-0.344"
"25","12","-0.344"
"21","13","-0.348"
"2","14","-0.411"
"19","15","-0.434"
"24","16","-0.434"
"4","17","-0.441"
"27","18","-0.441"
"13","19","-0.460"
"15","20","-0.477"
"18","21","-0.582"
"6","22","-0.604"
"10","23","-0.714"
"7","24","-0.724"
"8","25","-0.724"
"22","26","-0.738"
"5","27","-0.752"
"9","28","-0.952"
