"Atom number","Rang","Delta P"
"11","1","0.072"
"2","2","0.010"
"28","3","-0.046"
"27","4","-0.056"
"22","5","-0.065"
"26","6","-0.072"
"14","7","-0.080"
"15","8","-0.080"
"30","9","-0.099"
"13","10","-0.101"
"1","11","-0.113"
"12","12","-0.120"
"34","13","-0.136"
"35","14","-0.136"
"36","15","-0.136"
"10","16","-0.143"
"33","17","-0.147"
"19","18","-0.154"
"9","19","-0.165"
"16","20","-0.165"
"20","21","-0.184"
"17","22","-0.185"
"24","23","-0.185"
"31","24","-0.185"
"23","25","-0.193"
"8","26","-0.194"
"5","27","-0.197"
"6","28","-0.203"
"21","29","-0.207"
"7","30","-0.213"
"25","31","-0.214"
"3","32","-0.233"
"18","33","-0.236"
"29","34","-0.251"
"4","35","-0.262"
"32","36","-0.275"
