"Atom number","Rang","Delta P"
"10","1","0.522"
"23","2","0.129"
"17","3","0.060"
"11","4","0.027"
"1","5","0.011"
"13","6","-0.081"
"15","7","-0.081"
"21","8","-0.081"
"16","9","-0.100"
"4","10","-0.139"
"22","11","-0.155"
"19","12","-0.163"
"3","13","-0.208"
"25","14","-0.315"
"7","15","-0.401"
"9","16","-0.417"
"5","17","-0.486"
"8","18","-0.495"
"12","19","-0.529"
"24","20","-0.545"
"6","21","-0.588"
"20","22","-0.595"
"14","23","-0.618"
"2","24","-0.645"
"18","25","-0.728"
"26","26","-0.890"
