"Atom number","Rang","Delta P"
"12","1","0.738"
"2","2","0.410"
"40","3","0.324"
"42","4","0.324"
"28","5","0.323"
"11","6","0.222"
"3","7","0.219"
"31","8","0.166"
"37","9","0.122"
"33","10","0.051"
"14","11","0.013"
"16","12","0.013"
"1","13","-0.013"
"38","14","-0.028"
"29","15","-0.082"
"39","16","-0.124"
"43","17","-0.124"
"8","18","-0.149"
"19","19","-0.149"
"15","20","-0.171"
"9","21","-0.174"
"18","22","-0.174"
"13","23","-0.180"
"17","24","-0.180"
"41","25","-0.196"
"5","26","-0.202"
"4","27","-0.210"
"25","28","-0.255"
"35","29","-0.286"
"22","30","-0.300"
"27","31","-0.309"
"20","32","-0.331"
"23","33","-0.344"
"30","34","-0.359"
"32","35","-0.381"
"26","36","-0.440"
"21","37","-0.475"
"34","38","-0.491"
"36","39","-0.492"
"7","40","-0.497"
"24","41","-0.503"
"6","42","-0.533"
"10","43","-0.540"
