"Atom number","Rang","Delta P"
"25","1","0.164"
"9","2","0.001"
"48","3","-0.027"
"44","4","-0.048"
"15","5","-0.050"
"24","6","-0.050"
"28","7","-0.050"
"40","8","-0.050"
"13","9","-0.064"
"36","10","-0.064"
"12","11","-0.073"
"38","12","-0.073"
"50","13","-0.074"
"46","14","-0.124"
"20","15","-0.128"
"33","16","-0.128"
"4","17","-0.129"
"1","18","-0.131"
"7","19","-0.131"
"42","20","-0.135"
"43","21","-0.135"
"45","22","-0.136"
"37","23","-0.137"
"49","24","-0.139"
"17","25","-0.141"
"30","26","-0.141"
"8","27","-0.144"
"11","28","-0.147"
"47","29","-0.150"
"41","30","-0.151"
"10","31","-0.154"
"26","32","-0.154"
"16","33","-0.155"
"19","34","-0.155"
"21","35","-0.155"
"29","36","-0.155"
"32","37","-0.155"
"34","38","-0.155"
"27","39","-0.176"
"23","40","-0.187"
"18","41","-0.191"
"22","42","-0.191"
"31","43","-0.191"
"35","44","-0.191"
"3","45","-0.196"
"5","46","-0.196"
"14","47","-0.209"
"39","48","-0.217"
"2","49","-0.241"
"6","50","-0.241"
